,Date,Paris,Versailles,Melun,Fontainebleau,Cergy
257,15/09/2019,23°C/32°C,22°C/29°C,22°C/30°C,22°C/30°C,21°C/30°C
258,16/09/2019,0°C/22°C,-3°C/21°C,0°C/18°C,0°C/18°C,0°C/21°C
259,17/09/2019,18°C/23°C,17°C/22°C,17°C/22°C,17°C/22°C,18°C/22°C
260,18/09/2019,14°C/19°C,13°C/19°C,13°C/19°C,13°C/19°C,13°C/19°C
261,19/09/2019,14°C/20°C,13°C/19°C,13°C/20°C,13°C/20°C,13°C/20°C
262,20/09/2019,15°C/23°C,14°C/22°C,13°C/23°C,13°C/23°C,14°C/22°C
263,21/09/2019,18°C/28°C,18°C/27°C,18°C/27°C,18°C/27°C,17°C/26°C
264,22/09/2019,18°C/22°C,17°C/20°C,18°C/20°C,17°C/20°C,18°C/21°C
265,23/09/2019,16°C/22°C,15°C/21°C,15°C/22°C,15°C/22°C,15°C/22°C
266,24/09/2019,16°C/20°C,15°C/20°C,15°C/20°C,15°C/20°C,16°C/20°C
267,25/09/2019,15°C/18°C,14°C/18°C,15°C/18°C,15°C/18°C,15°C/18°C
268,26/09/2019,18°C/21°C,17°C/20°C,17°C/21°C,17°C/21°C,18°C/20°C
269,27/09/2019,17°C/21°C,16°C/20°C,17°C/20°C,17°C/20°C,17°C/21°C
270,28/09/2019,15°C/19°C,15°C/18°C,15°C/19°C,15°C/19°C,15°C/19°C
271,29/09/2019,16°C/19°C,15°C/19°C,15°C/19°C,15°C/19°C,16°C/19°C
272,30/09/2019,15°C/20°C,13°C/19°C,14°C/20°C,14°C/20°C,14°C/20°C
273,01/10/2019,19°C/21°C,15°C/20°C,18°C/20°C,18°C/20°C,18°C/20°C
274,02/10/2019,14°C/16°C,10°C/16°C,14°C/16°C,13°C/16°C,14°C/15°C
275,03/10/2019,11°C/16°C,10°C/15°C,9°C/15°C,9°C/15°C,11°C/15°C
276,04/10/2019,15°C/17°C,14°C/16°C,15°C/16°C,15°C/16°C,14°C/16°C
277,05/10/2019,14°C/16°C,14°C/17°C,14°C/16°C,14°C/16°C,14°C/16°C
278,06/10/2019,15°C/18°C,13°C/17°C,14°C/18°C,14°C/18°C,15°C/17°C
